År;Stora sjöarna;Vänern;Vättern;Mälaren;Hjälmaren;Fritidsfiske (stora sjöarna, inklusive Storsjön);error
1997;115;55;1;34;26;;
1998;114;49;0,8;41;24;;
1999;149;54;0,8;41;53;;
2000;145;58;0,6;43;43;;
2001;121;50;1,8;39;30;;
2002;145;67;1,4;39;37;;
2003;129;55;0,9;33;39;;
2004;109;44;0,8;28;36;;
2005;94;35;0,9;26;32;;
2006;106;35;0,6;31;40;;
2007;106;37;0,5;35;33;;
2008;103;39;0,4;29;34;;
2009;96;42;1,2;33;20;;
2010;89;39;0,8;28;22;;
2011;88;35;1,3;25;27;;
2012;102;40;2,8;25;34;;
2013;89;38;1,7;27;23;;
2014;104;43;2,4;33;25;150;73
2015;82;32;2,2;25;23;133;51
2016;92;37;1,4;21;33;;
2017;79;38;2;17;22;;
