År;error;rec_plus;rec_minu;Område;Biomassa
1997;NA;NA;NA;Stora sjöarna;115
1998;NA;NA;NA;Stora sjöarna;114
1999;NA;NA;NA;Stora sjöarna;149
2000;NA;NA;NA;Stora sjöarna;145
2001;NA;NA;NA;Stora sjöarna;121
2002;NA;NA;NA;Stora sjöarna;145
2003;NA;NA;NA;Stora sjöarna;129
2004;NA;NA;NA;Stora sjöarna;109
2005;NA;NA;NA;Stora sjöarna;94
2006;NA;NA;NA;Stora sjöarna;106
2007;NA;NA;NA;Stora sjöarna;106
2008;NA;NA;NA;Stora sjöarna;103
2009;NA;NA;NA;Stora sjöarna;96
2010;NA;NA;NA;Stora sjöarna;89
2011;NA;NA;NA;Stora sjöarna;88
2012;NA;NA;NA;Stora sjöarna;102
2013;NA;NA;NA;Stora sjöarna;89
2014;73;223;77;Stora sjöarna;104
2015;51;184;82;Stora sjöarna;82
2016;NA;NA;NA;Stora sjöarna;92
2017;NA;NA;NA;Stora sjöarna;79
1997;NA;NA;NA;Vänern;55
1998;NA;NA;NA;Vänern;49
1999;NA;NA;NA;Vänern;54
2000;NA;NA;NA;Vänern;58
2001;NA;NA;NA;Vänern;50
2002;NA;NA;NA;Vänern;67
2003;NA;NA;NA;Vänern;55
2004;NA;NA;NA;Vänern;44
2005;NA;NA;NA;Vänern;35
2006;NA;NA;NA;Vänern;35
2007;NA;NA;NA;Vänern;37
2008;NA;NA;NA;Vänern;39
2009;NA;NA;NA;Vänern;42
2010;NA;NA;NA;Vänern;39
2011;NA;NA;NA;Vänern;35
2012;NA;NA;NA;Vänern;40
2013;NA;NA;NA;Vänern;38
2014;73;223;77;Vänern;43
2015;51;184;82;Vänern;32
2016;NA;NA;NA;Vänern;37
2017;NA;NA;NA;Vänern;38
1997;NA;NA;NA;Vättern;1
1998;NA;NA;NA;Vättern;0.8
1999;NA;NA;NA;Vättern;0.8
2000;NA;NA;NA;Vättern;0.6
2001;NA;NA;NA;Vättern;1.8
2002;NA;NA;NA;Vättern;1.4
2003;NA;NA;NA;Vättern;0.9
2004;NA;NA;NA;Vättern;0.8
2005;NA;NA;NA;Vättern;0.9
2006;NA;NA;NA;Vättern;0.6
2007;NA;NA;NA;Vättern;0.5
2008;NA;NA;NA;Vättern;0.4
2009;NA;NA;NA;Vättern;1.2
2010;NA;NA;NA;Vättern;0.8
2011;NA;NA;NA;Vättern;1.3
2012;NA;NA;NA;Vättern;2.8
2013;NA;NA;NA;Vättern;1.7
2014;73;223;77;Vättern;2.4
2015;51;184;82;Vättern;2.2
2016;NA;NA;NA;Vättern;1.4
2017;NA;NA;NA;Vättern;2
1997;NA;NA;NA;Mälaren;34
1998;NA;NA;NA;Mälaren;41
1999;NA;NA;NA;Mälaren;41
2000;NA;NA;NA;Mälaren;43
2001;NA;NA;NA;Mälaren;39
2002;NA;NA;NA;Mälaren;39
2003;NA;NA;NA;Mälaren;33
2004;NA;NA;NA;Mälaren;28
2005;NA;NA;NA;Mälaren;26
2006;NA;NA;NA;Mälaren;31
2007;NA;NA;NA;Mälaren;35
2008;NA;NA;NA;Mälaren;29
2009;NA;NA;NA;Mälaren;33
2010;NA;NA;NA;Mälaren;28
2011;NA;NA;NA;Mälaren;25
2012;NA;NA;NA;Mälaren;25
2013;NA;NA;NA;Mälaren;27
2014;73;223;77;Mälaren;33
2015;51;184;82;Mälaren;25
2016;NA;NA;NA;Mälaren;21
2017;NA;NA;NA;Mälaren;17
1997;NA;NA;NA;Hjälmaren;26
1998;NA;NA;NA;Hjälmaren;24
1999;NA;NA;NA;Hjälmaren;53
2000;NA;NA;NA;Hjälmaren;43
2001;NA;NA;NA;Hjälmaren;30
2002;NA;NA;NA;Hjälmaren;37
2003;NA;NA;NA;Hjälmaren;39
2004;NA;NA;NA;Hjälmaren;36
2005;NA;NA;NA;Hjälmaren;32
2006;NA;NA;NA;Hjälmaren;40
2007;NA;NA;NA;Hjälmaren;33
2008;NA;NA;NA;Hjälmaren;34
2009;NA;NA;NA;Hjälmaren;20
2010;NA;NA;NA;Hjälmaren;22
2011;NA;NA;NA;Hjälmaren;27
2012;NA;NA;NA;Hjälmaren;34
2013;NA;NA;NA;Hjälmaren;23
2014;73;223;77;Hjälmaren;25
2015;51;184;82;Hjälmaren;23
2016;NA;NA;NA;Hjälmaren;33
2017;NA;NA;NA;Hjälmaren;22
1997;NA;NA;NA;Fritidsfiske;NA
1998;NA;NA;NA;Fritidsfiske;NA
1999;NA;NA;NA;Fritidsfiske;NA
2000;NA;NA;NA;Fritidsfiske;NA
2001;NA;NA;NA;Fritidsfiske;NA
2002;NA;NA;NA;Fritidsfiske;NA
2003;NA;NA;NA;Fritidsfiske;NA
2004;NA;NA;NA;Fritidsfiske;NA
2005;NA;NA;NA;Fritidsfiske;NA
2006;NA;NA;NA;Fritidsfiske;NA
2007;NA;NA;NA;Fritidsfiske;NA
2008;NA;NA;NA;Fritidsfiske;NA
2009;NA;NA;NA;Fritidsfiske;NA
2010;NA;NA;NA;Fritidsfiske;NA
2011;NA;NA;NA;Fritidsfiske;NA
2012;NA;NA;NA;Fritidsfiske;NA
2013;NA;NA;NA;Fritidsfiske;NA
2014;73;223;77;Fritidsfiske;150
2015;51;184;82;Fritidsfiske;133
2016;NA;NA;NA;Fritidsfiske;NA
2017;NA;NA;NA;Fritidsfiske;NA
